L, numx, numfour, numts, dt, num a0, model, opt success, val obj, num opt itr, opt time, l2 err, l-inf err, tot time
15.0, 1025, 32, 100, 0.002, 4, fourier, False, 1.55169678170925e-17, 721, 10227658900, 0.9835524458900982, 0.08407167649971226, 22859545012
15.0, 1025, 32, 105, 0.0019, 4, fourier, False, 1.4888008741529348e-17, 722, 11068649968, 0.9835524457361527, 0.08407167627913925, 23625012254
15.0, 1025, 32, 111, 0.0018, 4, fourier, False, 2.0790428056717035e-18, 743, 11514566838, 0.9835524946955544, 0.08407167616506483, 24864059382
15.0, 1025, 32, 117, 0.0017, 4, fourier, False, 3.2998869883654894e-16, 685, 11202042743, 0.983552477855864, 0.08407169697889905, 25356774949
15.0, 1025, 32, 125, 0.0016, 4, fourier, False, 1.8797094011289465e-17, 700, 12128051649, 0.9835524458151101, 0.08407167641741264, 26847993713
15.0, 1025, 32, 133, 0.0015, 4, fourier, False, 3.981575271355543e-16, 665, 11432269444, 0.9835524787036158, 0.08407169785646451, 27053525806
15.0, 1025, 32, 142, 0.0014, 4, fourier, False, 1.7243941056971634e-17, 689, 13067714268, 0.9835524456472364, 0.08407167593058806, 29138352901
15.0, 1025, 32, 153, 0.0013, 4, fourier, False, 1.8738383225745607e-17, 685, 13193481118, 0.983552445534458, 0.08407167593293619, 30178284316
15.0, 1025, 32, 166, 0.0012, 4, fourier, False, 2.1222709719319742e-17, 672, 13818466054, 0.9835524453659823, 0.0840716760186383, 31943210899
15.0, 1025, 32, 181, 0.0011, 4, fourier, False, 5.049821692231637e-16, 640, 14427383139, 0.9835524777425079, 0.08407169675641157, 33885828856
15.0, 1025, 32, 200, 0.001, 4, fourier, False, 6.177612518313608e-16, 629, 14780809749, 0.9835524797039088, 0.08407169824469751, 36076986643
15.0, 1025, 32, 66, 0.003, 4, fourier, False, 7.965355361483355e-18, 772, 8719596991, 0.9835524461573704, 0.08407167599561371, 18899207239
15.0, 1025, 32, 68, 0.0029, 4, fourier, False, 7.126653127503424e-18, 771, 8863592857, 0.983552446384786, 0.08407167571187235, 19066493772
15.0, 1025, 32, 71, 0.0028, 4, fourier, False, 9.628584416629491e-18, 762, 9271798498, 0.9835524460044152, 0.08407167622143719, 19848348122
15.0, 1025, 32, 74, 0.0027, 4, fourier, False, 2.459935776013439e-16, 724, 8775516721, 0.9835524808078714, 0.08407169954188576, 19414727323
15.0, 1025, 32, 76, 0.0026, 4, fourier, False, 1.9338141181661077e-16, 731, 8758544836, 0.9835524754897718, 0.08407169552565097, 19549636790
15.0, 1025, 32, 80, 0.0025, 4, fourier, False, 1.6122390884798498e-18, 769, 9931801134, 0.9835524934856369, 0.08407167635801971, 21195971497
15.0, 1025, 32, 83, 0.0024, 4, fourier, False, 2.52669195898447e-16, 717, 9416319946, 0.9835524790123438, 0.08407169814881443, 20743996987
15.0, 1025, 32, 86, 0.0023, 4, fourier, False, 2.20268990053077e-16, 714, 9257347889, 0.9835524755333782, 0.08407169560763561, 21009479222
15.0, 1025, 32, 90, 0.0022, 4, fourier, False, 2.346884709940105e-16, 710, 9546649815, 0.9835524760760347, 0.08407169585541896, 21520111029
15.0, 1025, 32, 95, 0.0021, 4, fourier, False, 2.9454649044679254e-16, 704, 10149315577, 0.9835524792636926, 0.0840716984124501, 22525739510
15.0, 1025, 32, 100, 0.002, 4, cheby, False, 1.0244746790932229, 46, 1070659746, 22.061176842042062, 1.6589808855464963, 23152682375
15.0, 1025, 32, 105, 0.0019, 4, cheby, False, 1.070122726396945, 47, 1306903634, 22.060544750419755, 1.658940439322762, 23898508261
15.0, 1025, 32, 111, 0.0018, 4, cheby, False, 1.1335407463699503, 47, 1392107400, 22.06083272339311, 1.6589588602639316, 24300264351
15.0, 1025, 32, 117, 0.0017, 4, cheby, False, 1.1843169557923512, 45, 1474000169, 22.059742706892788, 1.6588891688123275, 24167612514
15.0, 1025, 32, 125, 0.0016, 4, cheby, False, 1.2770243829471852, 44, 949826353, 22.060948817274976, 1.6589662906661289, 25312958816
15.0, 1025, 32, 133, 0.0015, 4, cheby, False, 1.3516990849153432, 45, 1708885174, 22.060317222415975, 1.6589258947011742, 27112863421
15.0, 1025, 32, 142, 0.0014, 4, cheby, False, 1.4330493952312746, 45, 1343493420, 22.05945784970204, 1.658870969414168, 26767274868
15.0, 1025, 32, 153, 0.0013, 4, cheby, False, 1.544374207648831, 42, 1371515951, 22.059515613001395, 1.6588746662466574, 27813358175
15.0, 1025, 32, 166, 0.0012, 4, cheby, False, 1.6789758676221433, 40, 1528047467, 22.059802461021103, 1.658892998193108, 29103912050
15.0, 1025, 32, 181, 0.0011, 4, cheby, False, 1.8277475561441268, 40, 1431497652, 22.059631121835313, 1.6588820579185342, 30337844049
15.0, 1025, 32, 200, 0.001, 4, cheby, False, 2.034685574936609, 44, 2753815626, 22.06060638815965, 1.6589443911462536, 33647750234
15.0, 1025, 32, 66, 0.003, 4, cheby, False, 0.6687327723142885, 53, 1254801704, 22.05944653065992, 1.6588702203566228, 21063210164
15.0, 1025, 32, 68, 0.0029, 4, cheby, False, 0.6835339520025987, 51, 773735809, 22.05847598602743, 1.658808245203713, 20506184752
15.0, 1025, 32, 71, 0.0028, 4, cheby, False, 0.7235961574390866, 50, 1055762492, 22.060250879456405, 1.658921634511904, 21053839402
15.0, 1025, 32, 74, 0.0027, 4, cheby, False, 0.7604504259518049, 52, 1109198785, 22.061344211621314, 1.6589915736013947, 21151023411
15.0, 1025, 32, 76, 0.0026, 4, cheby, False, 0.7651126065696467, 53, 1029573944, 22.058764044858613, 1.6588266402041025, 21343676416
15.0, 1025, 32, 80, 0.0025, 4, cheby, False, 0.822438540145323, 49, 1038797228, 22.061461161880324, 1.658999066867331, 21715431847
15.0, 1025, 32, 83, 0.0024, 4, cheby, False, 0.8465775138086311, 52, 1284699264, 22.060483860166826, 1.6589365370787466, 21973891107
